iter	Passed	Remaining
0	163	163599
1	180	90260
2	199	66412
3	216	53798
4	231	46099
5	245	40643
6	258	36697
7	271	33638
8	284	31319
9	299	29602
10	314	28285
11	330	27223
12	345	26266
13	360	25370
14	374	24607
15	390	23994
16	410	23752
17	425	23204
18	440	22729
19	455	22333
20	470	21923
21	485	21590
22	499	21212
23	513	20893
24	527	20557
25	541	20301
26	556	20041
27	570	19821
28	587	19662
29	603	19504
30	614	19210
31	628	18999
32	650	19060
33	676	19224
34	703	19402
35	722	19355
36	738	19213
37	755	19128
38	770	18988
39	787	18911
40	808	18908
41	821	18733
42	834	18566
43	850	18474
44	862	18310
45	876	18177
46	890	18050
47	910	18051
48	926	17975
49	943	17924
50	958	17832
51	972	17729
52	998	17832
53	1018	17843
54	1041	17902
55	1058	17839
56	1076	17808
57	1093	17762
58	1116	17814
59	1133	17752
60	1152	17735
61	1169	17692
62	1187	17664
63	1205	17627
64	1225	17631
65	1242	17589
66	1259	17532
67	1275	17486
68	1292	17438
69	1309	17394
70	1325	17342
71	1341	17288
72	1376	17480
73	1406	17600
74	1430	17646
75	1455	17694
76	1474	17678
77	1497	17695
78	1518	17702
79	1540	17719
80	1561	17711
81	1593	17837
82	1612	17820
83	1632	17801
84	1649	17752
85	1666	17712
86	1683	17664
87	1701	17629
88	1716	17567
89	1732	17513
90	1746	17447
91	1764	17412
92	1777	17331
93	1792	17273
94	1810	17247
95	1825	17194
96	1853	17256
97	1874	17255
98	1889	17195
99	1902	17119
100	1917	17068
101	1931	17007
102	1947	16959
103	1962	16908
104	1978	16862
105	2000	16875
106	2019	16854
107	2042	16872
108	2060	16846
109	2076	16803
110	2096	16793
111	2113	16755
112	2128	16704
113	2142	16650
114	2158	16608
115	2173	16561
116	2186	16503
117	2205	16487
118	2220	16436
119	2235	16393
120	2252	16365
121	2267	16321
122	2281	16265
123	2294	16206
124	2309	16165
125	2324	16123
126	2341	16093
127	2355	16045
128	2367	15982
129	2377	15913
130	2390	15858
131	2403	15801
132	2420	15777
133	2435	15742
134	2448	15688
135	2459	15622
136	2471	15566
137	2484	15516
138	2495	15456
139	2508	15406
140	2519	15349
141	2531	15295
142	2543	15241
143	2554	15185
144	2566	15135
145	2579	15088
146	2592	15043
147	2607	15009
148	2626	15002
149	2640	14961
150	2653	14919
151	2666	14877
152	2678	14828
153	2691	14784
154	2703	14737
155	2715	14691
156	2727	14647
157	2743	14619
158	2757	14585
159	2771	14551
160	2785	14513
161	2799	14483
162	2815	14457
163	2833	14444
164	2853	14441
165	2868	14411
166	2882	14375
167	2896	14345
168	2910	14309
169	2924	14278
170	2938	14243
171	2952	14213
172	2968	14192
173	2984	14167
174	2997	14131
175	3010	14095
176	3027	14077
177	3039	14038
178	3053	14004
